Country,Disaster Type,Total Deaths,Disaster_Occurred
China,Storm,100000.0,1
Türkiye,Fire (Miscellaneous),200.0,1
United States Of America,Air,34.0,1
Anguilla,Epidemic,,1
Canada,Wildfire,43.0,1
China,Air,17.0,1
Belgium,Explosion (Industrial),10.0,1
Taiwan (Province Of China),Earthquake,5.0,1
Japan,Earthquake,27.0,1
Soviet Union,Epidemic,,1
Niger,Epidemic,100000.0,1
Bangladesh,Storm,6.0,1
Myanmar,Storm,6.0,1
Soviet Union,Storm,23.0,1
Japan,Earthquake,143000.0,1
Japan,Mass movement (wet),200.0,1
Japan,Fire (Miscellaneous),3800.0,1
Japan,Storm,3000.0,1
France,Collapse (Miscellaneous),600.0,1
Jamaica,Storm,4.0,1
Anguilla,Epidemic,,1
"China, Hong Kong Special Administrative Region",Storm,100.0,1
China,Earthquake,5000.0,1
Iran (Islamic Republic Of),Earthquake,2200.0,1
Belgium,Explosion (Industrial),10.0,1
Soviet Union,Earthquake,18.0,1
Iran (Islamic Republic Of),Earthquake,157.0,1
Iran (Islamic Republic Of),Earthquake,290.0,1
Colombia,Earthquake,300.0,1
India,Epidemic,300000.0,1
Taiwan (Province Of China),Storm,1000.0,1
India,Storm,1242.0,1
Ecuador,Earthquake,40.0,1
Indonesia,Earthquake,727.0,1
Belgium,Explosion (Industrial),24.0,1
Türkiye,Earthquake,50.0,1
China,Earthquake,100.0,1
Türkiye,Earthquake,60.0,1
Indonesia,Earthquake,60.0,1
Greece,Flood,15.0,1
United States Of America,Storm,739.0,1
China,Earthquake,5000.0,1
India,Storm,80.0,1
United States Of America,Earthquake,13.0,1
Tokelau,Storm,,1
Germany Federal Republic,Flood,,1
United States Of America,Air,14.0,1
Türkiye,Earthquake,200.0,1
Philippines,Earthquake,17.0,1
Japan,Earthquake,395.0,1
Türkiye,Earthquake,3.0,1
China,Earthquake,12.0,1
Iran (Islamic Republic Of),Earthquake,500.0,1
Greece,Flood,13.0,1
India,Epidemic,423000.0,1
Romania,Flood,1000.0,1
United States Of America,Storm,25.0,1
Bangladesh,Storm,,1
Myanmar,Storm,2700.0,1
Germany Federal Republic,Flood,,1
India,Flood,,1
Bahamas,Storm,263.0,1
Dominican Republic,Storm,162.0,1
Puerto Rico,Storm,25.0,1
United States Of America,Storm,11.0,1
Pakistan,Storm,,1
United States Of America,Storm,243.0,1
Cuba,Storm,600.0,1
Colombia,Mass movement (wet),100.0,1
Egypt,Earthquake,12.0,1
Belgium,Flood,,1
Japan,Volcanic activity,144.0,1
France,Mass movement (wet),28.0,1
Japan,Earthquake,3022.0,1
United States Of America,Flood,246.0,1
China,Earthquake,40912.0,1
Jordan,Earthquake,268.0,1
India,Storm,56.0,1
China,Storm,5000.0,1
United States Of America,Storm,87.0,1
India,Storm,629.0,1
Algeria,Flood,3000.0,1
Indonesia,Earthquake,50.0,1
Canada,Fire (Miscellaneous),76.0,1
Belgium,Explosion (Industrial),26.0,1
Greece,Earthquake,103.0,1
Chile,Earthquake,220.0,1
United States Of America,Collapse (Miscellaneous),400.0,1
Türkiye,Earthquake,50.0,1
