Country,Predicted_Disaster_Risk,Historical_Risk,Combined_Risk,Year
Morocco,0.43551763367463026,159.0681818181818,0.3059861015011597,2025
Mozambique,0.4302957906712173,828.5151515151514,0.3070602068793032,2025
Myanmar,0.45509101251422074,1143.8370370370371,0.32664449477931246,2025
Namibia,0.4398037542662116,34.68421052631579,0.3081076591179152,2025
Nepal,0.45999715585893064,133.77358490566039,0.322943070049326,2025
Netherlands (Kingdom Of The),0.420150739476678,158.53658536585365,0.2952255200300821,2025
Netherlands Antilles,0.4456712172923777,9.333333333333334,0.3120357886560017,2025
New Caledonia,0.49685153583617747,2.0,0.34781020434632504,2025
New Zealand,0.46852104664391353,240.6969696969697,0.3296651678042185,2025
Nicaragua,0.3681854379977247,274.703125,0.259670482673842,2025
Niger,0.4410807736063709,2032.1958762886597,0.3231132544949091,2025
Nigeria,0.3799829351535836,101.34046692607004,0.2667039875610809,2025
Niue,0.39026734926052337,1.0,0.27319420911286674,2025
North Macedonia,0.39202502844141074,20.842105263157894,0.27456476168152244,2025
Northern Mariana Islands,0.3602844141069397,2.5,0.25221675145110883,2025
Norway,0.3764590443686007,36.75,0.26378095622891073,2025
Oman,0.4666439135381115,21.65,0.3268036887270121,2025
Pakistan,0.45584470989761094,387.6181818181818,0.32182967615811636,2025
Palau,0.4036006825938566,1.0,0.2825275424462001,2025
Panama,0.4664448236632537,14.673076923076923,0.3266150364310433,2025
Papua New Guinea,0.48976962457337886,171.955223880597,0.344053537320698,2025
Paraguay,0.47288964732650735,33.44,0.33125899437248907,2025
People'S Democratic Republic Of Yemen,0.48052332195676906,170.0,0.33756731255480904,2025
Peru,0.47,284.6795580110497,0.33101115588836993,2025
Philippines,0.4898549488054607,112.62729658792651,0.343694134398477,2025
Poland,0.5016552901023891,83.30864197530866,0.3517472478447194,2025
Portugal,0.4201422070534699,153.3548387096774,0.29518294020836366,2025
Puerto Rico,0.47072241183162683,52.27777777777778,0.3298750114655217,2025
Qatar,0.4667064846416382,18.0,0.3268217025981542,2025
Republic Of Korea,0.45,71.64021164021165,0.3155061116242097,2025
Republic Of Moldova,0.4484556313993174,9.454545454545457,0.3139857348497079,2025
Romania,0.48995733788395907,153.5686274509804,0.34405504212816856,2025
Russian Federation,0.4043458475540387,208.08206686930092,0.2845121162040216,2025
Rwanda,0.47627133105802044,28.844827586206897,0.3335937097893591,2025
Réunion,0.46675483503981796,22.53846153846154,0.3268876104306896,2025
Saint Barthélemy,0.4545051194539249,4.0,0.3181818421397491,2025
Saint Helena,0.48147610921501705,,0.3401676197157799,2025
Saint Kitts And Nevis,0.42766496018202504,3.0,0.2993866660189187,2025
Saint Lucia,0.48028441410693967,6.0,0.3362414776578602,2025
Saint Martin (French Part),0.45399032992036403,12.0,0.3178780065102598,2025
Saint Vincent And The Grenadines,0.43472127417519907,172.7,0.3055249536100613,2025
Samoa,0.4678839590443686,59.333333333333336,0.32793793940741606,2025
Sao Tome And Principe,0.48016211604095566,41.166666666666664,0.3364043085176027,2025
Saudi Arabia,0.5003782707622297,111.75949367088607,0.35105432906125933,2025
Senegal,0.4796843003412969,38.14285714285715,0.33604847543085226,2025
Serbia,0.4197212741751991,203.83333333333334,0.2952448991063076,2025
Serbia Montenegro,0.4585978384527873,12.125,0.32110414556176864,2025
Seychelles,0.38626279863481233,4.0,0.27041221756637024,2025
Sierra Leone,0.49,149.4285714285714,0.34405565764334795,2025
Singapore,0.45006257110352677,8.0,0.31510031681647205,2025
Sint Maarten (Dutch Part),0.492636518771331,4.0,0.34487382166193337,2025
Slovakia,0.35438282138794086,49.37931034482759,0.2484168215535102,2025
Slovenia,0.5301137656427759,65.53846153846153,0.3715426409642781,2025
Solomon Islands,0.48207622298065983,40.61904761904761,0.33774031464916926,2025
Somalia,0.46657565415244595,546.436170212766,0.33046332754132807,2025
South Africa,0.4909357224118316,27.308474576271188,0.34384792997069347,2025
South Sudan,0.33381683731513084,61.86363636363637,0.2341088298529128,2025
Soviet Union,0.4703412969283276,42465.06593406594,0.6292389078498294,2025
Spain,0.48764220705346983,316.7124183006536,0.3435870011476163,2025
Sri Lanka,0.4303839590443686,324.25984251968504,0.3035595473045829,2025
State Of Palestine,0.4102701934015927,7.125,0.2872394708734304,2025
Sudan,0.5404351535836178,1021.2060606060606,0.3855190509915002,2025
Suriname,0.48375995449374287,35.666666666666664,0.33888393996680155,2025
Sweden,0.4553213879408418,15.5,0.3188344733313458,2025
Switzerland,0.36,55.0,0.2523885546775229,2025
Syrian Arab Republic,0.44,149.37777777777777,0.30905529880497334,2025
Taiwan (Province Of China),0.41,108.17142857142858,0.28776419117355934,2025
Tajikistan,0.3601109215017064,48.50980392156863,0.2524203488915481,2025
Thailand,0.42906996587030716,81.37280701754386,0.30092384492357566,2025
Timor-Leste,0.42622013651877133,11.625,0.2984362218927073,2025
Togo,0.4687400455062571,55.285714285714285,0.32850860499776013,2025
Tokelau,0.4643003412969283,,0.3281445821731178,2025
Tonga,0.4691097838452787,9.636363636363637,0.32844492604015363,2025
Trinidad And Tobago,0.48481797497155854,9.875,0.3394423457062826,2025
Tunisia,0.4636689419795222,39.93846153846154,0.32485040985918984,2025
Turkmenistan,0.45,22.0,0.31515542187100914,2025
Turks And Caicos Islands,0.47819681456200225,37.5,0.3350026938371672,2025
Tuvalu,0.4127616609783845,12.0,0.28901793825087413,2025
Türkiye,0.44290955631399315,442.77183098591547,0.3131647088017036,2025
Uganda,0.39594141069397043,1259.311377245509,0.2860555570509894,2025
Ukraine,0.42987201365187716,35.88235294117647,0.30116390512132896,2025
United Arab Emirates,0.3999829351535837,30.357142857142858,0.2802025166048426,2025
United Kingdom Of Great Britain And Northern Ireland,0.4878668941979522,123.16666666666667,0.34237695292853454,2025
United Republic Of Tanzania,0.48427474402730375,79.82352941176471,0.3395562445596459,2025
United States Of America,0.48996871444823664,53.69037294015612,0.34335740276001736,2025
United States Virgin Islands,0.48774744027303757,6.4,0.34146842182632886,2025
Uruguay,0.46003981797497157,9.590909090909092,0.32209562881137044,2025
Uzbekistan,0.49957053469852103,19.428571428571423,0.34983662996725856,2025
Vanuatu,0.4604067121729238,15.764705882352942,0.32239607034305323,2025
Venezuela (Bolivarian Republic Of),0.48931740614334474,319.0283018867925,0.34477600137234676,2025
Viet Nam,0.4622184300341297,91.58308157099698,0.3241999016552794,2025
Wallis And Futuna Islands,0.4608503981797497,3.0,0.322616472617326,2025
Yemen,0.47975255972696246,58.72727272727273,0.33624167829098905,2025
Yemen Arab Republic,0.4062343572241183,571.4,0.2884007799248208,2025
Yugoslavia,0.4299800910125142,84.82142857142857,0.30158529576013454,2025
Zambia,0.48931740614334474,52.76119402985075,0.342894922640923,2025
Zimbabwe,0.4700483503981797,118.1590909090909,0.32986859559626364,2025
Afghanistan,0.490179180887372,134.4418604651163,0.344075208689135,2026
Albania,0.47996871444823663,46.72222222222222,0.3363081753499239,2026
Algeria,0.47644197952218426,97.97841726618705,0.3342015669805302,2026
American Samoa,0.4446757679180887,43.333333333333336,0.3115791715310135,2026
Angola,0.45018486916951084,83.87378640776699,0.3157219457282993,2026
Anguilla,0.4798947667804323,7.666666666666667,0.3359804989134725,2026
Antigua And Barbuda,0.48919795221843004,1.625,0.3424500465774642,2026
Argentina,0.5414192263936292,106.77165354330708,0.3797477607557424,2026
